Title	Director
13_Assassins_(2010_film)	Takashi Miike
14_Blades	Daniel Lee
22_Bullets	Richard Berry
The_A-Team_(film)	Joe Carnahan
Alien_vs_Ninja	Seiji Chiba
Bad_Blood_(2010_film)	Dennis Law
Bangkok_Knockout	Panna Rittikrai
Blades_of_Blood	Lee Joon-ik
The_Book_of_Eli	Allen Hughes
The_Bounty_Hunter_(2010_film)	Andy Tennant
The_Butcher,_the_Chef_and_the_Swordsman	Wuershan
Centurion_(film)	Neil Marshall
City_Under_Siege_(film)	Benny Chan
The_Crazies_(2010_film)	Breck Eisner
Date_Night	Shawn Levy
The_Expendables_(2010_film)	Sylvester Stallone
Faster_(2010_film)	George Tillman Jr.
Fire_of_Conscience	Dante Lam
From_Paris_with_Love_(film)	Pierre Morel
Gallants_(film)	Clement Cheng
Gothic_%26_Lolita_Psycho	Go Ohara
Inception	Christopher Nolan
Ip_Man_2	Wilson Yip
Iron_Man_2	Jon Favreau
Just_Call_Me_Nobody	Kevin Chu
Kick-Ass_(film)	Matthew Vaughn
Killers_(2010_film)	Robert Luketic
Knight_and_Day	James Mangold
The_Last_Airbender	M. Night Shyamalan
The_Legend_Is_Born_%E2%80%93_Ip_Man	Herman Yau
Let_the_Bullets_Fly	Jiang Wen
Little_Big_Soldier	Sheng Ding
The_Losers_(film)	Sylvain White
MacGruber_(film)	Jorma Taccone
Machete_(2010_film)	Ethan Maniquis
Mutant_Girls_Squad	Tak Sakaguchi
Ong_Bak_3	Panna Rittikrai
Operation:_Endgame	Fouad Mikati
Predators_(film)	Nimród Antal
Red_(2010_film)	Robert Schwentke
The_Red_Eagle	Wisit Sasanatieng
Reign_of_Assassins	Su Chao-Pin
Repo_Men	Miguel Sapochnik
Salt_(2010_film)	Phillip Noyce
Scott_Pilgrim_vs._the_World	Edgar Wright
Shank_(2010_film)	Mo Ali
Smokin%27_Aces_2:_Assassins%27_Ball	P. J. Pesce
The_Spy_Next_Door	Brian Levant
Stake_Land	Jim Mickle
The_Stool_Pigeon_(2010_film)	Dante Lam
Tekken_(2010_film)	Dwight H. Little
Triple_Tap	Yee Tung-Shing
True_Legend	Yuen Woo Ping
Unstoppable_(2010_film)	Tony Scott
The_Warrior%27s_Way	Sngmoo Lee
The_Yellow_Sea_(film)	Na Hong-jin
Zebraman_2:_Attack_on_Zebra_City	Takashi Miike
30_Minutes_or_Less	Ruben Fleischer
Attack_the_Block	Joe Cornish
Battle:_Los_Angeles	Jonathan Liebesman
Battlefield_Heroes_(film)	Lee Joon-ik
Bbuddah..._Hoga_Terra_Baap	Poori Jagannath
Singham	Rohit Shetty
Bodyguard_(2011_Hindi_film)	Siddique
Captain_America:_The_First_Avenger	Joe Johnston
Colombiana_(film)	Olivier Megaton
Conan_the_Barbarian_(2011_film)	Marcus Nispel
Contagion_(film)	Steven Soderbergh
Countdown_(2011_film)	Huh Jong-ho
The_Darkest_Hour_(film)	Chris Gorak
Don_2:_The_King_is_Back	Farhan Akhtar
Drive_Angry	Patrick Lussier
Fast_Five	Justin Lin
Flying_Swords_of_Dragon_Gate	Tsui Hark
The_Green_Hornet_(2011_film)	Michel Gondry
Green_Lantern_(film)	Martin Campbell
Hanna_(film)	Joe Wright
He-Man_(film)	Sheng Ding
Hobo_with_a_Shotgun	Jason Eisener
I_Am_Number_Four_(film)	D. J. Caruso
Karate_Girl	Kimura Yoshikatsu
Karate-Robo_Zaborgar	Noboru Iguchi
The_Kick_(film)	Prachya Pinkaew
Killer_Elite_(film)	Gary McKendry
Kung_Fu_Panda_2	Jennifer Yuh Nelson
Largo_Winch_II	Jérôme Salle
A_Lonely_Place_to_Die	Julian Gilbey
The_Lost_Bladesman	Felix Chong
The_Mechanic_(2011_film)	Simon West
Mission:_Impossible_%E2%80%93_Ghost_Protocol	Brad Bird
Mr._%26_Mrs._Incredible	Vincent Kok
My_Own_Swordsman	Shang Jing
Ninja_Kids!!!	Takashi Miike
No_Limit_(2011_film)	Fu Huayang
Quick_(2011_film)	Jo Bum-gu
The_Raid:_Redemption	Gareth Evans
Red_Tears	Takanori Tsujimoto
Season_of_the_Witch_(2011_film)	Dominic Sena
Sector_7_(film)	Kim Ji-hoon
Shaolin_(film)	Benny Chan
Sherlock_Holmes:_A_Game_of_Shadows	Guy Ritchie
Sleepless_Night_(2011_film)	Frédéric Jardin
Source_Code	Duncan Jones
The_Sword_Identity	Xu Haofeng
Sucker_Punch_(2011_film)	Zack Snyder
Thor_(film)	Kenneth Branagh
Transformers:_Dark_of_the_Moon	Michael Bay
The_Warring_States_(film)	Jin Chen
White_Vengeance	Daniel Lee
Wu_Xia_(film)	Peter Chan
X-Men:_First_Class	Matthew Vaughn
Yakuza_Weapon	Yûdai Yamaguchi
21_Jump_Street_(film)	Christopher Miller
Abraham_Lincoln:_Vampire_Hunter_(film)	Timur Bekmambetov
Agneepath_(2012_film)	Karan Malhotra
The_Amazing_Spider-Man_(2012_film)	Marc Webb
The_Avengers_(2012_film)	Joss Whedon
Bait_3D	Kimble Rendall
Battleship_(film)	Peter Berg
Black_%26_White_Episode_I:_The_Dawn_of_Assault	Tsai Yueh-hsun
The_Bourne_Legacy_(film)	Tony Gilroy
Contraband_(2012_film)	Baltasar Kormákur
CZ12	Jackie Chan
Dabangg_2	Arbaaz Khan
The_Dark_Knight_Rises	Christopher Nolan
The_Expendables_2	Simon West
Fire_with_Fire_(2012_film)	David Barrett
The_Four_(film)	Janet Chun
Ghost_Rider:_Spirit_of_Vengeance	Brian Taylor
The_Guillotines	Andrew Lau
Guns_and_Roses_(2012_film)	Ning Hao
Hit_%26_Run_(2012_film)	Dax Shepard
Jack_Reacher_(film)	Christopher McQuarrie
John_Carter_(film)	Andrew Stanton
The_Man_with_the_Iron_Fists	RZA
Naked_Soldier	Marco Mak
Premium_Rush	David Koepp
Rurouni_Kenshin_(2012_film)	Keishi Otomo
Safe_House_(2012_film)	Daniel Espinosa
Skyfall	Sam Mendes
Tai_Chi_0	Stephen Fung
Taken_2	Olivier Megaton
Underworld:_Awakening	Bjorn Stein
Universal_Soldier:_Day_of_Reckoning	John Hyams
The_Viral_Factor	Dante Lam
Wu_Dang_(film)	Patrick Leung
009-1:_The_End_of_the_Beginning	Koichi Sakamoto
2_Guns	Baltasar Kormákur
Angel_Warriors	Fu Huayang
The_Berlin_File	Ryoo Seung-wan
Bullet_to_the_Head	Walter Hill
Elysium_(film)	Neill Blomkamp
Ender%27s_Game_(film)	Gavin Hood
Escape_Plan_(film)	Mikael Håfström
Fast_%26_Furious_6	Justin Lin
The_Four_II	Janet Chun
Gangster_Squad_(film)	Ruben Fleischer
Getaway_(film)	Courtney Solomon
G.I._Joe:_Retaliation	Jon M. Chu
A_Good_Day_to_Die_Hard	John Moore
The_Heat_(film)	Paul Feig
Homefront_(film)	Gary Fleder
Hummingbird_(film)	Steven Knight
Iron_Man_3	Shane Black
Kick-Ass_2_(film)	Jeff Wadlow
The_Last_Stand_(2013_film)	Kim Jee-woon
The_Lone_Ranger_(2013_film)	Gore Verbinski
Machete_Kills	Robert Rodriguez
Man_of_Steel_(film)	Zack Snyder
Oblivion_(2013_film)	Joseph Kosinski
Olympus_Has_Fallen	Antoine Fuqua
Once_Upon_a_Time_in_Vietnam	Dustin Nguyễn
Pain_%26_Gain	Michael Bay
RED_2_(film)	Dean Parisot
Running_Man_(2013_film)	Jo Dong-oh
Star_Trek_Into_Darkness	J. J. Abrams
The_Suspect_(2013_South_Korean_film)	Won Shin-yun
Switch_(2013_film)	Jay Sun
Thor:_The_Dark_World	Alan Taylor
Tom_Yum_Goong_2	Prachya Pinkaew
Welcome_to_the_Punch	Eran Creevy
White_House_Down	Roland Emmerich
The_Wolverine_(film)	James Mangold
World_War_Z_(film)	Marc Forster
22_Jump_Street	Christopher Miller
The_Amazing_Spider-Man_2	Marc Webb
Black_%26_White:_The_Dawn_of_Justice	Tsai Yueh-Hsun
Brick_Mansions	Camille Delamarre
Brotherhood_of_Blades	Lu Yang
Captain_America:_The_Winter_Soldier	Josphe and Anthony Russo
The_Dead_Lands	Toa Fraser
Edge_of_Tomorrow_(film)	Doug Liman
Everly_(film)	Joe Lynch
The_Expendables_3	Patrick Hughes
Guardians_of_the_Galaxy_(film)	James Gunn
Gun_Woman	Kurando Mitsutake
High_Kick_Angels	Yokoyama Kazuhiro
Jack_Ryan:_Shadow_Recruit	Kenneth Branagh
John_Wick_(film)	Chad Stahelski
The_Legend_of_Hercules	Renny Harlin
Kung_Fu_Jungle	Teddy Chen
