article_id|title|medium|publish_date|authors|corpus|url
0|how address inequity healthcare ai hire diverse data team|www.healthcareitnews.com|2022-01-13T09:05:39-05:00|Kat Jercich|even artificial intelligence become thoroughly integrated healthcare experts cautioned possible downsides including potentially hazardous risk bias discrimination encoded algorithms in fact said tania digital advisor healthcare life sciences microsoft implication automation miraculously improve delivery fully explored this generalization said presenting subject march further continued assumption consideration multitude factors contribute bias inequity sought implementing ai healthcare algorithms potential increase inequities explained account considerations socioeconomic status gender disabilities sexual orientation factors contribute disparities outcomes she says way mitigate risks ensuring professionals working information represent wide variety backgrounds in words homogenous data teams avoided said she stresses importance acknowledging bias exists us removing emotional attachment awareness bias allows colleague coworker address bias safe way said this important explained responding denial defensiveness address problem in order see change improve health equity must able accountable bias start continued at himss hopes panel attendees internalize message coming away inspired act encounter bias healthcare data another equally important lesson said ensure diverse group professionals entrusted looking working data this ultimately reduce damage patients said explain session how implicit bias affects ai healthcare it scheduled wednesday march orange county convention center kat jercich senior editor healthcare it news twitter kjercich email kjercich healthcare it news himss media publication|https://www.healthcareitnews.com/news/how-address-inequity-healthcare-ai-hire-diverse-data-team
1|cyberattack red cross endangers confidential info people|www.healthcareitnews.com|2022-01-21T12:06:48-05:00|Kat Jercich|the red cross reported week cyberattack contractor compromised data people according international committee red cross confidential information belonged highly vulnerable people including ones detention missing persons families separated families due conflict migration disaster we appalled perplexed humanitarian information would targeted compromised said robert mardini icrc statement this puts vulnerable people already need humanitarian services risk mardini said the icrc tasked providing wide range services including reuniting families providing healthcare especially people affected armed conflict natural disasters violent situations as organization explained attack centered external company icrc contracts store data the data question originated least red cross red crescent national societies worldwide experts noted attack serves reminder business associates potential risk factors vulnerabilities vendors continue remain top mind businesses threat actors alike said tom garrubba vp shared assessments healthcare it news sadly attack affected noble organization red cross if threat actors knew adds evidence threat actors go anyone garrubba added no organization even storied histories good world safe cyberattack continued nonprofit organizations must realize vendors attack absolutely imperative conduct ongoing mature risk management there indication yet bad actors exploited find while know responsible attack carried appeal make said mardini statement your actions could potentially cause yet harm pain already endured untold suffering continued the real people real families behind information among world least powerful please right thing do share sell leak otherwise use data the ramifications attacks always obvious direct hits even long term for instance cyberattack radiation treatment software company past year impacted least hospitals health systems across country the sad reality malicious actors stop nothing steal people private information often easiest way access data less secure third parties said demi chief technology officer panorays statement sent healthcare it news to help prevent cyber incidents every organization must make priority implement comprehensive security risk process this include minimum combination automated security questionnaires external attack surface assessments continuous monitoring check remediate cyber gaps added kat jercich senior editor healthcare it news twitter kjercich email kjercich healthcare it news himss media publication|https://www.healthcareitnews.com/news/cyber-attack-red-cross-endangers-confidential-info-515k-people
2|like banks healthcare become zoom healthcare lead says|www.healthcareitnews.com|2022-01-20T12:43:10-05:00|Bill Siwicki|digital transformation topic jour healthcare today everyone board health it team doctors nurses talking digital technologies change industry bring better better outcomes some professionals even talking healthcare meaning caregivers patients turn digital channel options that opinion ron emerson rn global healthcare lead zoom looks ahead believes developments healthcare he sees three major developments healthcare become system decentralization become major theme health life sciences organizations video part every healthcare experience healthcare it news interviewed emerson expand upon predictions year q you suggest year healthcare become system how transformation occur what key information technologies healthcare always complex dynamic requiring providers adapt changing patient needs this true ever adjust different models payment healthcare need greater access building lessons learned rapid digitization forced pandemic we know correlation access quality healthcare system crucially important it key note mean healthcare what mean first encounter ongoing treatment hybrid model mixing virtual promise becoming new norm this trend healthcare accelerated continuing innovation digital applications everything delivery medical training providers reimbursed we seeing capabilities like screening measure things like pulse blood pressure respiration oxygen levels stress without monitors medical instruments using audio video technologies already available person mobile phone these developments hint healthcare system future could connect patients teams homes model heralding greater access flexibility patients virtual tools facilitate access medical training healthcare providers seek expert guidance side globe touch button with shift pay capitated rates providers rethinking models delivery healthcare helps direct allocate resources direction effective individual patient in beyond expect see trend continue companies develop innovative ways patients stay connected doctors without needing travel medical facility a key factor driving adoption model ability manage patients regardless location thereby decreasing use unnecessary resources for example patient utilizes video visit provider need use local emergency room urgent center primary doctor resources real estate reduces costs video entry point decrease chance clinical exacerbations due early detection leading better outcomes in addition benefits patients becomes important bottom line move toward pay capitated rates we must aware impact shifting consumer preferences given new choices recipients traditional delivery working far many consumers as illustrated study published jama internal medicine percentage adults united states primary physician decline years by adults adults nationally representative sample pcp this underlines need create ways population receive healthcare issues escalate emergencies requiring greater interventions resources easy access key component people choose provider making provision accessible business driver one example virtual visits provide easy access patients ability capture objective data video without need medical devices organizations using technology found within apple watch capture biometric data vital signs stress levels simply patient participate video call we seeing powerful tools already embedded ordinary mobile phones use experience healthcare providers organizations in beyond expect see innovation space developers find ways screen vitals conditions without need specialized equipment many us might struggle remember last time physically bank we interact banking system digitally first ability follow situation dictates in model necessary delivery services dictated application service provided this paradigm key healthcare well increasing efficiencies quality system letting need drive delivery model entry interactions healthcare professionals organizations simpler older models q you predict decentralization become major theme health life science organizations please elaborate a traditionally access specialized required patient travel center specialist located burden sometimes involving frequent travel another state participation clinical trial meant temporary relocation patients development treatments hampered difficulty communicating speed offices spread around world decentralization improves access critical provision patients ability life sciences organizations innovate speed scale in healthcare decentralization improve access rural remote areas we already seeing ability integrate video calling medical devices stethoscopes otoscopes dermoscopes allows patients receive virtual clinic setting cutting need travel routine appointments larger medical centers this important healthcare provider shortage maldistribution clinicians larger urban centers millions people live work rural areas with decentralization patients receive virtually rural clinic support primary provider see specialist home virtual visit decentralized clinical trials already growing popularity these allow pharmaceutical companies contract research organizations reach diverse patient pool create accessible experience patients research longer needs tied specific trial sites patients rare diseases experts highly specialized talents located around world makes sense capitalize promise digital technology easier move information move people life sciences organizations advantage better collaboration technology allowing increased cohesion across global teams recruit best talent work complex problems as technology continues improve expect positive impact research development side life sciences organizations decentralization life sciences works across aspects development life cycle r d regulatory clinical trials manufacturing gtm strategies in beyond expect see healthcare organizations life sciences organizations advantage technologies enhance provision ability collaborate q video obviously zoom bread butter and suggest video year part every healthcare experience how think video become pervasive a we already seeing entry point healthcare system helps support patient video powers connection enabling virtual visits treatment mental healthcare comfort home virtual visits provide popular powerful first contact point doctor assess patient condition determine needed with screening ability see hear patient doctors able administer certain conditions advise patients necessary we seeing shift traditional models capitated rates alternative payment systems utilized these different payment models give providers flexibility focus sick look impactful ways keep patients healthy wellness prevention coordination multidisciplinary teams discharge planning live video sessions examples video part individual healthcare experience the need social distancing past two years shown many diagnostic tests performed without traveling medical facility as home blood tests become prevalent continue improve patient experience obviating need travel clinic routine blood draws tests created avenue help control pandemic without requiring patients leave homes therefore lowering chances exposing others virus diagnostic tests deliver key component video takes next level providing ability healthcare professional react results provide next steps through video components diagnostics delivery together the ability deliver remote instruction supervision combined increasing array tests patients perform home help lower barrier demographics geography isolate patients need video provides powerful delivery mechanism mental healthcare the ability connect therapist mental health professional video private location helps patients overcome fear stigma providing patients home aid comfort relaxation therapist gain insight patient feels ordinary surroundings as public understanding importance mental health continues grow number organizations innovating ways deliver mental healthcare virtual visits sign hope the power video serve entry point assist routine treatment make mental healthcare accessible illustrates healthcare industry using new technologies provide better patients twitter siwickihealthit email writer bsiwicki healthcare it news himss media publication|https://www.healthcareitnews.com/news/banks-healthcare-will-become-digital-first-2022-zoom-healthcare-lead-says
3|why voice recognition new competitive battleground healthcare digital transformation|www.healthcareitnews.com|2022-01-20T12:24:54-05:00|Paddy Padmanabhan|for watching based artificial intelligence tools improve physician productivity reduce burnout improve quality patient experience in addition health systems looked transcriptions identify reimbursable conditions identified diagnosis ensuring diagnosis miss critical health indicators it common knowledge significant burden many caregivers documenting annotating clinical encounters electronic health record systems voice recognition many tools alleviate problem reduce clinician workloads today tools fall broad category conversational ai along chatbots productivity automation tools however maturity tools especially clinical context long way promise technology users leading tools acknowledge technology delivers better caregiver productivity however point ambient artificial intelligence underlying assumption software make sense conversation provide clinical decision support still nascent according stephanie lahr cio cmio monument health voice recognition clinical context complex encounters hard capture voice recognition software lahr points even leading technology providers tools person behind curtain often interprets conversation separates clinical terminology overall conversation bj moore cio providence health user tools states how ai tool pluck necessary components encounter add ehr ignoring rest chitchat room big tech firms startups alike keen expand voice recognition capabilities considering significant potential tools improve productivity transform patient experiences amazon google apple invested voice applications microsoft whose cortana platform made much impact marketplace went ahead acquired software developer nuance nearly billion the move essentially implied microsoft doubling commitment healthcare amazon big tech firm offering healthcare deployed alexa services several healthcare organizations however alexa uses voice depending see context amazon recent announcements point using senior living communities patients hospitals stay connected informed entertained much consumers use alexa today general information while solutions directly enabling clinicians caregivers diagnosis treatment still essential role delivery for example voice assistants allow patients routine needs medication reminders almost like healthcare attendant home using voice assistant instead this brings us oracle major new player healthcare tech planned acquisition cerner the news release made multiple mentions software significant driver productivity reduced workloads clinicians future while oracle first comes mind hospitals health systems think technology intent bring technology cerner platform address clinical workloads indicative perceived opportunity voice technologies healthcare interestingly cerner currently collaboration nuance capabilities ambient clinical computing still early stages ambient computing using voice conversational interfaces exciting area several startups getting field however progress towards intelligent uses voice recognition clinical decision support slow as mentioned earlier separating clinical terminology aspects conversation challenge implying technology fits well specialties others regardless pace adoption providers see reduction clinician burnout using speech recognition software transcribe encounters three times faster human typing clinical system potentially freeing couple hours day typical caregiver sees twenty thirty patients day we hope see higher adoption rates technology gets better needs less less human involvement reviewing note the entry big tech voice space hopefully result significant new investments advance ai tools intelligent automation aspects coding quality abstraction encounter notes today vital consideration automation similar technologies help providers get high demand low staffing levels across board healthcare compounded great resignation allowing clinicians perform demanding work highest complex patients means using technology assist patients high acuity needs something seen work effectively telehealth virtual consults primary specialties behavioral health as ambient technologies improve additional use cases leverage voice emerge that leaves us question patients responding tools healthcare encounters early indications patients accept ambient technologies provides opportunity regain intimacy relationship provider lost burdensome requirements documentation ehr however questions around data privacy patient education ambient technologies suggest applications need tread carefully at broad level technology true potential lies going beyond documentation becoming intelligent decision support tool effective listening clinical indicators proactively supporting clinical decisions the level integration emerging technology tools core clinical platforms ehr significant factor increasing adoption rates today fundamental challenge voice recognition ambient computing ai applications general healthcare context as new technologies solutions stand better chance broad adoption addressing important urgent problems delivery builds support clinician owners champions inside organization there many promising technologies emerging today impact healthcare however critical clinicians digital health leaders recognize matter good tech success elusive without organizational alignment demonstrated performance new technologies involve business process changes addition integration core clinical platforms ehr require effective change management approaches success requires alignment supplier technology healthcare organization internal stakeholders developing view solving problems often means paying close attention understanding stated unstated needs when elements together digital transformation healthcare sector make giant leaps forward paddy padmanabhan author healthcare digital transformation how consumerism technology pandemic are accelerating future he founder ceo damo consulting|https://www.healthcareitnews.com/blog/why-voice-recognition-new-competitive-battleground-healthcares-digital-transformation
4|biden team regroups court loss covid|www.modernhealthcare.com|2022-01-14T17:30:38-05:00|Associated Press|concerned giving president joe biden anxiously pushing ahead prod people get shots supreme court put halt administration sweeping plan large employers at time hospitals overrun record numbers people getting infected covid variant administration hopes states companies order requirements and presidential bully pulpit still counts persuasion biden intends use while business community cheered defeat mandate biden insisted administration effort naught the high court ruling thursday stop using voice president advocate employers right thing protect americans health economy said the court conservative majority occupational safety health administration requirement employers employees require workers vaccinated covid tested weekly however leave place vaccination requirement healthcare workers meanwhile white house announced friday federal website americans request free tests begin accepting orders next wednesday those tests could provide motivation people seek vaccination administration looking address nationwide shortages supplies limited four free tests home website order free covid tests federal government launches next week on thursday supreme court ruled osha appeared overstep congressional authority implement occupational standards saying although risk occurs many workplaces occupational hazard the mandate announced last september accompanied biting criticism biden roughly million american adults yet gotten shots we patient but patience wearing thin refusal cost us said the unvaccinated minority said cause lot damage in statement supreme court ruling biden expressed disappointment outcome said mandates already desired effect reducing number unvaccinated adults today number million said unvaccinated had administration put vaccination requirements place would experiencing higher death toll even hospitalizations while court left open possibility pursue targeted mandates white house officials said immediate plans seek redo regulation it states individual employers put place vaccination requirements said white house press secretary jen psaki friday the united states already languishing vaccination rate near bottom peer nations said lawrence gostin public health law expert georgetown university the osha rule truly president last best shot significantly boosting vaccination rate gostin said but court highly partisan way intentionally tried handcuff president needs many large businesses already put place requirements indicated plans reverse course but smaller companies said breathing sigh relief fearing worker shortages osha rule allowed go force the supreme court decision taken little bit burden worry shoulders said kyle caraway marketing director doolittle trailer manufacturing joined lawsuit missouri attorney general challenging biden policy about employees holts summit company indicated would refuse comply vaccination requirement said it became apparent us team going shrink greatly overnight vaccine mandate went place said caraway counted among opposing biden policy halting production could forced company consider shuttering doors said the service employees international union represents million workers said court decision relief healthcare workers leaves others without critical protections in blocking rule large employers court placed millions essential workers risk caving corporations trying rig rules workers permanently union said the union called congress states pass laws requiring vaccinations masks paid sick leave workers need better access testing protective equipment union said the renewed debate vaccination mandates comes record number americans hospitalized country averaging nearly new cases deaths day resistance vaccines remains problem notably deeply conservative states like mississippi alabama wyoming idaho less half population fully vaccinated hospitals nationwide suffering chronic staffing shortages bombarded people showing emergency rooms need virus tests national guard troops activated dozens states help medical centers nursing homes testing sites a hospital edge kansas city area borrow ventilators state missouri stockpile hunt oxygen machines largest county kansas said friday running morgue space gostin predicted court action would grave influence federal agencies efforts protect public health ruling osha regulate something would huge economic impact without explicit authorization congress and said states able make ruling impact if covid taught us anything taught us states deal big bold problems prevent pathogen going florida new york said these national problems requiring federal solutions psaki said white house would work businesses promote benefits requirements biden would highlight successful programs the court ruled administration use authority granted congress require measure biden said so i call business leaders immediately join already stepped including third fortune companies institute vaccination requirements protect workers customers communities|https://www.modernhealthcare.com/politics-policy/biden-team-regroups-after-court-loss-covid-shots-or-test
5|ibm watson health data analytics include imaging population health software|www.modernhealthcare.com|2022-01-21T16:44:03-05:00|Alex Kacik|ibm plans sell imaging population health software along watson health data analytics business company said friday the tech conglomerate private equity firm francisco partners signed definitive agreement expect deal close second quarter subject customary regulatory approvals the transaction financial terms disclosed includes ibm medical imaging population health software merge healthcare phytel ibm incrementally sold parts artificial watson health enterprise illustrating complexity applying budding technology highly regulated healthcare industry analysts said but ibm missteps downplay potential ai healthcare industry observers said the it sector chronically underestimates complexity human illness defining healthcare big data problem human problem said jeff goldsmith founder president consultancy health futures i bet ibm spent billion began buying collateral businesses cover core failure said describing watson health huge corporate embarrassment left behind unfulfilled promises i idea watson health remaining businesses worth know anyone under deal current management team continue similar roles new standalone company serving existing clients the news comes ibm sold three components watson health portfolio group purchasing organization vizient actionoi carediscovery market expert if ibm get fair price watson health think wise decision shed asset given significant barriers adoption healthcare industry julie bhusal sharma equity analyst morningstar wrote email modern healthcare ibm acquired truven health analytics billion added clients watson health portfolio including federal state government agencies employers health plans hospitals clinicians life sciences companies that acquisition followed company purchase merge healthcare used time healthcare facilities aggregate analyze medical images ibm acquired population health software phytel well cleveland clinic explorys application clinical integration population management cost measurement alternative payment models the assets associated merge phytel part transaction francisco partners according ibm spokesperson declined confirm deny whether explorys included francisco partners invested technology companies two decades business including esolutions capsule goodrx zocdoc those deals part drove hype ibm watson health artificial intelligence tool cancer treatment watson oncology but reportedly struggled navigate health system electronic health records leading internal disputes executive turnover there early missteps oncology perform well expected failed gain confidence clinicians it possible ibm took something big bold work said paddy padmanabhan founder ceo damo consulting noting highly public disputes md anderson memorial sloan kettering cancer centers the whole ibm watson health supposed bigger sum parts parts seem worth whole google expanded relationship health systems like mayo clinic amazon recently launched pharmacy delivery service grown medical service employers success recent years watson health analysts said the health truveta continues garner support efforts house medical records images genomics microsoft cloud healthcare but tech companies progress slower expected given healthcare strict regulatory environment among factors morningstar bhusal sharma said oracle proposed billion acquisition cerner likely made ibm rethink overall strategy around watson health said andrew mcdonald healthcare consulting leader lbmc ibm major player healthcare early mistakes help at day could leverage investment roi said i think juncture ibm simply divesting assets may degrade reputation capital recapture beneficial potential refocus current healthcare game plan ibm watson health may struggled operate broader company umbrella padmanabhan said but dismantling discredit progress artificial intelligence healthcare said ibm decision sell watson health assets indictment promise ai healthcare said adding ai top technology investments health systems there challenges data quality bias ai healthcare broader story ibm experience influence next iteration ai healthcare|https://www.modernhealthcare.com/information-technology/ibm-watson-health-data-sale-include-imaging-population-health-software
6|booster shots needed covid cdc studies show|www.modernhealthcare.com|2022-01-21T13:32:13-05:00|Associated Press|three studies released friday offered evidence vaccines standing covid variant least among people received booster shots they first large studies look vaccine protection covid health officials said the papers echo previous research including studies germany south africa indicating available vaccines less effective covid earlier versions covid boosters significantly improve protection the first study looked hospitalizations emergency room urgent center visits states august month it found vaccine effectiveness best three doses pfizer moderna vaccines preventing emergency department urgent visits protection dropped delta wave covid wave protection two doses lower especially six months passed since second dose the second study focused case death rates states beginning april christmas people boosted highest protection covid infection time delta dominant covid taking those two articles published online centers disease control prevention the journal american medical association published third study led cdc researchers it looked people tested positive testing sites across three shots pfizer moderna vaccines effective symptomatic disease compared unvaccinated people two doses however offered significant protection covid researchers found it really shows importance getting booster dose said cdc emma accorsi study authors|https://www.modernhealthcare.com/safety-quality/booster-shots-needed-against-omicron-cdc-studies-show
7|covid surge undermining health problems|www.modernhealthcare.com|2022-01-21T11:35:21-05:00|Associated Press|he told later i assumed forgot said gleason works art critic and yet person room there dozens people but gleason added i begrudging hospital they great job an average almost people hospital highest level record according centers disease control prevention hospitals states new york connecticut experienced early covid surges starting see easing patient load many places overwhelmed hospitals say patients sick last surge and many admitted reasons incidentally testing positive virus rick pollack president ceo american hospital association said surge widespread effect availability people health problems he said number factors play more people hospital high number healthcare workers worsening staffing shortages existed well pandemic as roughly hospitals nationwide reporting critical staff shortages pollack said many people unable unwilling seek symptoms seem like emergencies said led delays diagnosing conditions diabetes high blood pressure get worse longer go untreated claudia fegan chief medical officer cook county health chicago said people particularly older patients avoiding checkups routine pandemic fear and result patients seeing much sicker said citing cases advanced heart failure cancer might diagnosed earlier mike bawden marketing consultant history blood clots lungs said could get appointment see doctor davenport iowa coughing symptoms similar the doctor office concerned virus spreading others after nearly two weeks bawden went clinic sent ed genesis medical davenport he said waited almost six hours overflowing facility seen a scan showed clots lungs suspected prescribed blood thinners if surge bawden said would gotten scan much earlier doctor office it always easy monday morning quarterback er everyone really patients bawden said i think important folks realize nobody villain craig cooper genesis spokesman declined comment individual cases but said email we exempt challenges medical centers across united states experiencing significant impact covid we urge individuals get vaccinated strukhoff researcher tech startups said arrived northwestern medicine kishwaukee hospital dekalb suspected internal bleeding he diagnosed given bed ed he waited six hours feeling dizzy wheeled room hallways people lay stretchers i distress point strukhoff said i worried clogging works emergency room taking spot people christopher king spokesman northwestern medicine declined comment strukhoff privacy laws but confirmed wait times higher normal throughout hospital system across country strukhoff said got hospital room colonoscopy revealed bleeding doctors treated cauterizing vein he suffered heart attack recovering he said took five hours get icu it something set strukhoff said doctors nurses rose challenge these people heroes|https://www.modernhealthcare.com/safety-quality/omicron-surge-undermining-care-other-health-problems
8|patient beware some states still pushing ineffective covid antibody treatments|www.modernhealthcare.com|2022-01-21T09:18:29-05:00|JoNel Aleccia, Kaiser Health News|as covid variant completes sweep across states scarce supplies monoclonal antibody therapies continue use two treatments federal health officials warn longer work highly contagious version virus causes the antibody treatment recommended sotrovimab glaxosmithkline vir biotechnology short supply use newly ineffective treatments produced regeneron pharmaceuticals eli lilly highest dozen states they include several southern states nation lowest vaccination rates california ranks nation top fully vaccinated residents khn analysis federal data shows many hospitals clinics still infusing costly charging hundreds dollars public health officials say almost certainly useless read new antibody ok protect vulnerable massachusetts deploying antibody treatment units that dominance covid accounted new covid infections week ended according centers disease control prevention that point underscored week updated guidelines national institutes health recommend sotrovimab primary monoclonal treatment disease unless providers certain still treating patients infected delta variant use others said mark mcclellan director center health policy former commissioner fda former administrator cms and delta variant increasingly rare accounting cases louisiana california ohio examples there medical justification based evidence regeneron lilly products mcclellan said determining patients infected delta covid variant complicated said christian ramers chief population health infectious disease specialist family health centers san diego his clinic sites nation using laboratory screening positive pcr covid tests tell whether patients infected delta covid treating accordingly otherwise giving false sense security patient getting treatment ramers said i think ethical goes principle harm overall hospitals used doses regeneron lilly monoclonal antibody therapies according latest figures department health human services data regarding use sotrovimab became available recently products yet available hhs site by comparison hospitals used courses regeneron lilly treatments they used courses near height delta surge on hospitals still doses regeneron lilly treatments hand nationwide federal government distributing courses sotrovimab week though remains short supply the biden administration agreed buy million doses including promised march gsk officials said respectively michigan florida indiana missouri louisiana california oklahoma kansas georgia ohio new york mississippi used courses regeneron lilly treatments khn analysis showed in florida used courses outdated treatments period republican gov ron desantis said convinced regeneron lilly products work covid in florida covid accounted cases delta accounted we practitioners give people covid said symptoms got resolved said speech provided spokesperson christina pushaw federal health officials managing allocation monoclonal antibody therapies paused shipments regeneron lilly treatments laboratory tests showed less effective surging covid variant delta variant but biden administration resumed shipments complaints desantis doctors therapies could still help people places delta variant persisted regeneron said antibody treatments ineffective covid variant it contains mutations virus spike protein makes variant better dodging monoclonal antibody treatments it really justified point unless underlying secondary gain political pressure perhaps providers truly touch reality variant proportions ramers said earlier month hhs officials indicated shipments three monoclonal antibody treatments would continue despite growing proportion covid cases a department spokesperson background said agency would continue assess impacts therapeutic allocations monoclonal antibody treatments molecules mimic body immune response infection they often given iv infusion though delivered injection the federal government agreed purchase millions doses regeneron lilly products cost dose the medicines free consumers though hospitals clinics charge fees administering drugs monitoring patients process other treatments expected effective covid patients include astrazeneca evusheld injectable monoclonal antibody immunocompromised people infusion gilead sciences remdesivir approved fda new oral antiviral pills expected effective although remain short supply read fda approves first antiviral remdesivir|https://www.modernhealthcare.com/safety-quality/patient-beware-some-states-still-pushing-ineffective-covid-antibody-treatments
9|covid chile starts fourth vaccine dose amid rise cases|www.bbc.com|2022-01-11T11:47:43.000Z||chile started administering fourth doses vaccines first latin american country covid variant fuels surge cases people weakened immune systems first receive shots the campaign extended age february chile fully vaccinated million people age three population million according health ministry around million people already received third dose the country campaign started sinovac vaccine expansion programme include fourth doses use combination sinovac pfizer astrazeneca jabs president sebastián piñera visited santiago hospital fourth shots offered monday urged people get vaccinated saying jabs safe work he said refusing vaccinated what irresponsible if vaccinated get infected infect families partners work colleagues the highly infectious covid variant behind surge cases around world though studies suggest less severe variants virus especially vaccinated however high number infections putting pressure health services infections surging region largest country brazil experts warned situation likely worse official numbers suggest they say figures reliable data blackout caused hackers well insufficient testing|https://www.bbc.com/news/world-latin-america-59944173
