label,title,description
3,Shell pulls staff from oil region,"The Anglo-Dutch oil giant, Shell, withdraws hundreds of workers from oil facilities in Nigeria's troubled Niger Delta."
4,Scientists Think Data From Space Capsule Can Be Salvaged,"Samples and data inside the wrecked Genesis space capsule appear intact enough to salvage most of the mission's science, optimistic researchers said Friday."
3,UBS Raises Its Rating on Delta; Shares Up,"Shares of US airlines took off in Wednesday trading after UBS Investment Bank raised its rating on Delta Air Lines Inc., saying the cash-strapped carrier's latest survival moves are lessening prospects of bankruptcy."
3,Coventry Health to Buy First Health,Coventry Health Care Inc. on Thursday said it agreed to buy rival health plan First Health Group Corp. for $1.8 billion in stock and cash as it looks to expand its geographic reach and keep pace with rivals.
1,France Bans Hizbollah Satellite TV as Anti-Jewish,A French court ordered a prompt end to satellite television broadcasts to Europe by Lebanon's Hizbollah guerrilla group on Monday on grounds they were clearly anti-Semitic and a potential threat to public order.
4,Robots set to get homely by 2007,"The number of robots helping out and entertaining in the home is set to soar sevenfold by 2007, says the UN."
3,Toymakers Hit by Economy; Holidays Grim," NEW YORK (Reuters) - The two top U.S. toymakers posted  disappointing third-quarter results on Monday and softened  expectations for the crucial holiday season, citing a wobbly  economy and cautious retailers."
3,Manufacturing Activity Up in September,"Manufacturing activity rose in September for the 16th consecutive month, but at a more gradual pace than in August, an industry research group reported Friday."
3,IDC raises estimate for PC sales,"Researcher IDC has raised its estimate for the number of PCs that will be sold in 2004, saying it now expects sales of 176.5 million units, the company said Monday."
1,Troops ready for Mosul after Fallujah,"US-backed Iraqi commandos were poised Friday to storm rebel strongholds in the northern city of Mosul, as US military commanders said they had  quot;broken the back quot; of the insurgency with their assault on the former rebel bastion of Fallujah."
4,Red Hat: Fake Emails Circulating,Red Hat posted a notice on their web site about fake emails that purport to come from them. Here is the statement in its entirety:  quot;Red Hat has been made aware that emails are circulating that pretend to come from the Red Hat Security Team.
2,No. 18 Miami Tops No. 10 Virginia 31-21 ,AP - Roscoe Parrish returned a punt for a touchdown and caught a clinching touchdown pass in the final minute Saturday as Miami got back into the ACC title race by beating No. 10 Virginia 31-21.
1,"Hamas attack kills Israeli soldier, ends lull in Gaza violence","Egypt has brokered an understanding to halt Israeli-Palestinian violence and move toward a peace accord, the official Egyptian news agency said Tuesday."
4,Look... face it: Your PC is NOT secure,"Apparently, some two thirds of home users think they are safe from online threats, but 20 percent of home computers are infected by a virus, and 80 percent have problems with spyware and adware."
2,Racing: Italian Trulli to race for Toyota in Japan and Brazil,"PARIS : Italian driver Jarno Trulli, who has signed to drive for Toyota next season, will now be driving for the Japanese constructor in the final two races of this season, Toyota revealed."
3,Opposition rejects audit of Chvez recall vote,"CARACAS The Venezuelan electoral authorities on Thursday conducted a random audit of the referendum that confirmed President Hugo Chvez's mandate, but the opposition rejected it and said the vote was a fraud."
4,Researcher Finds Flaws in XP SP2,"German research firm Heise Security has issued an advisory for a pair of security flaws in Microsoft's (Quote, Chart) recently shipped Windows XP Service Pack 2 with a warning that attackers could launch malicious files from an untrusted zone. "
1,Saudi dissident fails to stage mass protests,"RIYADH, Saudi Arabia -- Hundreds of security forces made a show of force in two Saudi cities yesterday to ward off protests against the royal family, chasing a few would-be demonstrators in the streets and arresting several others, after a dissident called for a day of marches."
3,Calpers President Voted Out,"Sean Harrigan was ousted from his post as president of the $177 billion California Public Employees Retirement System. In a 3 to 2 vote in San Francisco, the California state Personnel Board pulled Harrigan "
4,UK Man Held Over Cisco Source Code Theft," LONDON (Reuters) - Police said on Monday they have arrested  a 20-year-old British man on suspicion of stealing Cisco  Systems &lt;A HREF=""http://www.reuters.co.uk/financeQuoteLookup.jhtml?ticker=CSCO.O qtype=sym infotype=info qcat=news""&gt;CSCO.O&lt;/A&gt; source code, the basic instructions for the  machines that direct Internet traffic across the globe."
3,Warner Chilcott agrees takeover,"Northern Irish drugmaker Warner Chilcott has agreed to a 1.62 billion pound takeover by the private equity arms of investment banks CSFB and JP Morgan, spurning two rival suitors."
4,File-Sharing Network Thrives Beneath the Radar," LONDON (Reuters) - A file-sharing program called BitTorrent  has become a behemoth, devouring more than a third of the  Internet's bandwidth, and Hollywood's copyright cops are taking  notice."
3,DHL scraps Brussels growth plan,"Courier firm DHL is ditching plans to site its international hub in Brussels at a likely cost of 1,700 jobs by 2008. Negotiations with local and federal authorities over increasing the number of night flights have failed, the firm told BBC News Online."
2,Bryant Accuser May Move Suit to Calif. ,"AP - The Kobe Bryant saga may be ending in Colorado. After 17 months of bitter court fights and lurid headlines, the 20-year-old woman accusing the NBA star of rape might dump her civil lawsuit here and sue him in his home state of California because of Colorado's strict limits on financial damages."
3,Keeping Score: Bush's promises,"Four years ago, candidate George Bush issued a steady stream of promises to win votes. The promises were big and small, widely embraced and bitterly opposed."
1,Iran votes to resume nuclear programme,"The Iranian parliament, which is dominated by hardliners, passed a bill yesterday obliging the government to press ahead with efforts to develop a nuclear energy programme."
1,Chirac inaugurates world's tallest bridge in France,"MILLAU, France - As air force jets screamed overhead, French President Jacques Chirac inaugurated the world's tallest bridge, a stunning masterpiece of engineering that will carry drivers 270 metres (885 feet) above ground."
2,Tough one for the Gunners,THE Gunners - for the time being at least - have lost the knack of putting teams away. Draws with Southampton and West Brom in their last two Premiership games at Highbury highlight Arsenal's current shortcomings 
2,Spotlight shines on quarterbacks,"They couldn't be more different. One is the prototype quarterback, seemingly built using the create-a-player function from a video game, standing tall in the pocket and firing laser beams across the field."
3,Euro Rises to Record High Above $1.3329, NEW YORK (Reuters) - The euro hit a fresh record high  against the dollar above $1.3329 on Tuesday following the  release of weaker-than-expected U.S. consumer confidence data.
4,PDF Proof:  This Song is Your Song ,A court case alleging copyright infringement against a Web site using a popular song in a political parody ended abruptly when an Electronic Frontier Foundation (EFF) investigation revealed that Woody Guthrie's  quot;This Land is Your Land quot; is in the public 
3,State Health Care Proposition Would Benefit Many Workers,"It is often said that national trends originate in California. By voting yes on Proposition 72 next Tuesday, California voters have a chance to start a positive national trend toward solving our health care crisis."
3,Wachovia's 3Q Profits Increase 14 Percent,"Wachovia Corp. said Friday that third-quarter earnings rose 14 percent to $1.26 billion, or 96 cents a share, on gains in its wealth management and investment banking businesses."
2,Pittsburgh vs. Arizona,"PHOENIX (Ticker) -- Jack Wilson lofted a sacrifice fly in the top of the 10th inning to lift the Pittsburgh Pirates to a wild 8-7 victory over the Arizona Diamondbacks. In the 10th, Jose Castillo drew leadoff walk against Greg Aquino (0-1) and stole ..."
2,James Lawton: Only Beijing can bury agony for Radcliffe,Paula Radcliffe got so many things right in New York. In winning another marathon she achieved all of her goals except the one that was beyond her.
4,Google Shares Surge On Market Forecasts,Google Shares Surge On Market Forecasts\\On Friday Google stocks soared up 20 percent on earnings news to trade at over 100 of its lower than expected IPO price two months ago. Google reported an earnings report on Thursday which showed large gains in come due to to the Google AdWords ...
1,Lawyers file Abu Ghraib complaint,"BERLIN -- A group of American civil rights lawyers filed a criminal complaint in a German court yesterday against top US officials, including Defense Secretary Donald H. Rumsfeld, for acts of torture committed at Abu Ghraib prison in Iraq."
2,Montgomery and Gaines Hearings Postponed, LONDON (Reuters) - The Court of Arbitration for Sport (CAS)  has postponed its hearings with American sprinters Tim  Montgomery and Chryste Gaines who have been charged with  serious doping violations.
1,Europe Sets Deadline for Iran on Weapons ,"AP - Europe's major powers have agreed to set a November deadline on Iran to meet demands meant to resolve concerns that it is secretly trying to make nuclear weapons, in a confidential document made available Saturday to The Associated Press."
3,Eli Lilly Bares All,"In the spirit of full disclosure, the Big Pharma company publishes clinical trial results online."
4,Folded Ice Discovered Beneath Antarctica ,"AP - Glaciers in Antarctica are thinning faster than they did in the 1990s and researchers have discovered an unexpected folded section deep beneath the ice cap, findings that may indicate the ice is less stable than had been thought."
4,Get ready for SPIT (spam over Internet telephony),"If spam could talk, it would spit. SPIT stands for spam over Internet telephony and could become just as annoying, according to executives from Qovia Inc., which recently filed two patent applications for technology to thwart SPIT."
2,Lashko in gold pole position,Irina Lashko has put Australia in a strong medal position going into the finals of the Olympic 3m springboard competition in Athens.
1,Iraqi Kidnappers Release 2 Indonesian Women,Two Indonesian women held hostage for several days by militants in Iraq have been freed. The two women were handed over to the United Arab Emirates embassy in Baghdad on Monday.
1,"British Hostage Beheaded in Iraq, Insurgents Say","British hostage Ken Bigley was beheaded near Baghdad on Thursday afternoon, insurgent sources in the rebel-held town of Falluja said on Friday."
4,"Wanna buy an iPod, guv?",Apple's first British store will open this Saturday on London's Regent Street--and Silicon.com got to take a peek before the doors open to shoppers.
3,Kodak Profits on Discontinued Operations," NEW YORK (Reuters) - Eastman Kodak Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=EK.N target=/stocks/quickinfo/fullquote""&gt;EK.N&lt;/A&gt;, the world's  top maker of photographic film, on Wednesday said its third  quarter profit rose, boosted by discontinued operations. Sales  were boosted by the weaker dollar and its key growth area of  digital photography.  Rochester, New York-based Kodak, which one year ago announced a  dramatic strategy shift toward digital cameras and printing and  away from film, posted net income of $479 million, or $1.67 a  share, including $1.51 from discontinued operations. A year  earlier its profit was $122 million, or 42 cents a share.     Multimedia versions of Reuters Top News are now available for:   * 3000 Xtra    : visit http://topnews.session.rservices.com  *  BridgeStation: view story .134  For more information on Top  News, visit  http://topnews.reuters.com  "
3,Vodafone not in talks with Verizon about Sprint,British-based mobile phone giant Vodafone Group said Tuesday that it was not in talks with US partner Verizon Communications about a possible bid for US rival Sprint.
2,Bourdais takes close victory from teammate Junquiera in Las Vegas ,"Sebastien Bourdais and Bruno Junquiera spent much of the weekend together, eating and hanging out in the garage areas their Newman-Haas teams share."
1,IRS Releases Tax Tables for New Deduction ,AP - Making big splurges this holiday season? The IRS released tax tables Friday to help taxpayers calculate whether they would benefit from a new sales tax deduction.
